iter	qwk	RMSE
107	0.5918961822	1.001943072
108	0.5917256083	1.001600856
109	0.5929855777	1.001143599
110	0.5943720909	1.000106361
111	0.5947082658	0.9996134872
112	0.5951324993	0.9991520132
113	0.5956237964	0.9986647066
114	0.5959001594	0.9982943931
115	0.5977188692	0.997776423
116	0.5986688781	0.9972978156
117	0.5987982125	0.9968405229
118	0.5992019818	0.996446592
119	0.5998240491	0.9960451821
120	0.6001319363	0.9956151974
121	0.6008569131	0.9951563335
122	0.600980771	0.9948602351
123	0.6012011723	0.9945003851
124	0.6018744256	0.9936585037
125	0.6028077193	0.9933184551
126	0.6038565543	0.9930138388
127	0.6036999855	0.9925141039
128	0.6039831878	0.992154346
129	0.6041653209	0.9917323159
130	0.6044301726	0.9914427477
131	0.6048154798	0.9911616663
132	0.6049278283	0.9909560386
133	0.6051758203	0.9907188472
134	0.6052594087	0.9901959451
135	0.6051506012	0.989770014
136	0.6049354857	0.9892877167
137	0.6050054856	0.9890180223
138	0.6050898595	0.9886764379
139	0.6056144899	0.9883387145
140	0.6056935277	0.9880621919
141	0.6065795753	0.9877575892
142	0.6066343838	0.9874173114
143	0.606902441	0.9871093123
144	0.6075616896	0.9867678201
145	0.6078666689	0.9863670228
146	0.6081010916	0.9861253662
147	0.6076930618	0.9859509777
148	0.6091840075	0.9853572611
149	0.6094735001	0.9850452541
150	0.6093309699	0.9847524239
151	0.6089947388	0.9844072255
152	0.6092284204	0.9842244514
153	0.6092038538	0.9839821658
154	0.6098039966	0.9836927217
155	0.6099650534	0.9833302852
156	0.6105487352	0.9830862684
157	0.6107683462	0.982809706
158	0.611464116	0.9825378541
159	0.6118792101	0.9822048661
160	0.6126086088	0.9819442994
161	0.6124141856	0.9816924505
162	0.6127863738	0.9814137221
163	0.6138392676	0.9808190623
164	0.6137044161	0.9805898651
165	0.6138382212	0.9804692002
166	0.6142707213	0.9802359508
167	0.6144489912	0.9799752064
168	0.6152041779	0.9797686181
169	0.6151290941	0.9795797443
170	0.6147911939	0.9794087349
171	0.6152275607	0.9791329614
172	0.6155889902	0.9787153483
173	0.615676727	0.9785102525
174	0.6153418305	0.978432355
175	0.615499304	0.9782203945
176	0.6157384284	0.9780382535
177	0.6160621848	0.9778268675
178	0.6158913708	0.9775395841
179	0.6158174868	0.977340755
180	0.6153312571	0.97718059
181	0.6151867054	0.9769663574
182	0.6156056019	0.9766093879
183	0.6157073789	0.9763623373
184	0.6160781636	0.976186872
185	0.6164502918	0.9760417385
186	0.6163153878	0.9758076395
187	0.616687106	0.9756410301
188	0.61692702	0.9754703029
189	0.6173047405	0.9752763016
190	0.617559903	0.9751119897
191	0.6181275389	0.9749873291
192	0.6185520865	0.9748156454
193	0.6184191448	0.9747048151
194	0.6190667506	0.9743496345
195	0.618948191	0.9742405352
196	0.6188823005	0.974080691
197	0.6190711897	0.9739024148
198	0.619297082	0.9737850084
199	0.6194496969	0.9736303214
200	0.6190388667	0.9733615706
201	0.6193489289	0.9732085827
202	0.6202941468	0.9730553774
203	0.6202699057	0.9729512277
204	0.6204812419	0.9728620538
205	0.6209992389	0.9726936043
206	0.6208773606	0.9725610447
207	0.6207044356	0.9724402086
208	0.6215520626	0.9721376462
209	0.6214040371	0.9719982429
210	0.6210884661	0.9718849219
211	0.6213641112	0.9717466923
212	0.6210555016	0.9716565467
213	0.6207686922	0.9715416807
214	0.6209198147	0.9713514727
215	0.6211660086	0.9712317656
216	0.6213847493	0.9711634683
217	0.6213607556	0.9709389222
218	0.6216200454	0.9707894453
219	0.6213934245	0.9707310815
220	0.6217588525	0.9706249783
221	0.6215258478	0.970514303
222	0.6218612399	0.9703263398
223	0.6219224077	0.9701517349
224	0.6221525833	0.9699386454
225	0.6222352264	0.9698759157
226	0.6223072832	0.9698238871
227	0.6220532748	0.969697742
228	0.6218782291	0.9695981539
229	0.6219798632	0.9695340285
230	0.6220884988	0.9694667739
231	0.6223393029	0.9693432218
232	0.6222520648	0.9692044315
233	0.622324894	0.9690878859
234	0.6223318357	0.9689716597
235	0.6223603641	0.9689058768
236	0.6224318788	0.9688348585
237	0.6228438506	0.9686494952
238	0.6227407266	0.9683347518
239	0.6225784891	0.9682290053
240	0.6232567305	0.968116914
241	0.6231398045	0.9680052494
242	0.6235161405	0.9678151362
243	0.6236828212	0.9677224561
244	0.6236108838	0.9675611442
245	0.6240257052	0.9674594515
246	0.6239415333	0.967322418
247	0.6240348233	0.967101289
248	0.6243284928	0.9670212168
249	0.6239412513	0.9669592317
250	0.624164004	0.9668612208
251	0.6238796003	0.9667175085
252	0.6241598594	0.9666358404
253	0.6239890112	0.9665222005
254	0.6239206354	0.9664090403
255	0.62422176	0.9661890303
256	0.6242866008	0.9659861816
257	0.6248332434	0.9658569686
258	0.6248384372	0.9658195318
259	0.6247511482	0.9657350184
260	0.6245984853	0.9656433753
261	0.6244915407	0.9655781691
262	0.6249068658	0.9654621773
263	0.6248632679	0.9653834839
264	0.6250979174	0.9653277185
265	0.6248496969	0.965243607
266	0.6251040358	0.9651655497
267	0.6254465057	0.9650339442
268	0.6254776212	0.964970406
269	0.626140125	0.9646596486
270	0.626136016	0.9645949726
271	0.626153187	0.9645434405
272	0.6261693991	0.9644568412
273	0.6260471771	0.9644127498
274	0.6263017351	0.9643041054
275	0.6264736478	0.9642378713
276	0.6266052356	0.964200237
277	0.6266228693	0.9640983807
278	0.626731171	0.9640572322
279	0.6267629664	0.9640281918
280	0.6267334096	0.9639338296
281	0.6267334096	0.9639142527
282	0.626707258	0.9638659856
283	0.6267258293	0.9637695921
284	0.6268845266	0.9637413366
285	0.6271297301	0.9636804524
286	0.6274264208	0.9635992835
287	0.6271835664	0.963507314
288	0.6268557768	0.9634346788
289	0.6268205064	0.9633243261
290	0.6271736141	0.9632853697
291	0.6270317126	0.9632321222
292	0.6271474222	0.9631894009
293	0.6271691518	0.9631473488
294	0.6270091812	0.9630769056
295	0.6272545292	0.9630060626
296	0.6273544339	0.9629562725
297	0.6271109478	0.9629243695
298	0.6272641125	0.9629025045
299	0.6274854755	0.9628647985
300	0.6277257513	0.9628258555
301	0.6273319314	0.9627125885
302	0.6279864407	0.9626064739
303	0.6279946014	0.9625337006
304	0.6281662155	0.9624511966
305	0.6281469883	0.9624096425
306	0.6280841002	0.9623824606
307	0.6284151821	0.9622826035
308	0.6284463827	0.9622387966
309	0.6282179826	0.9621482048
310	0.6285789839	0.9620486455
311	0.6284501615	0.9619030601
312	0.6277639406	0.9616151621
313	0.6279930804	0.9615363644
314	0.6283498377	0.9614819363
315	0.6282145469	0.9614395532
316	0.6283178464	0.9613879701
317	0.6286643487	0.9613063549
318	0.628817266	0.961263668
319	0.6285930349	0.9611728816
320	0.6285851432	0.9611457048
321	0.6286927139	0.9610409329
322	0.6287959718	0.9609785681
323	0.6290079247	0.9609408127
324	0.6290302308	0.9608691459
325	0.6292045282	0.9607501854
326	0.6292860729	0.960718132
327	0.6291373113	0.9606905476
328	0.6290532382	0.9606424063
329	0.6293114126	0.9605898936
330	0.6290507133	0.9605234627
331	0.629181815	0.9604410849
332	0.6293801135	0.9603475282
333	0.6294712191	0.9603105766
334	0.6293754831	0.96026939
335	0.6295113223	0.9602336651
336	0.6295873351	0.9601760313
337	0.6297557596	0.9600661206
338	0.6295718593	0.9600139345
339	0.629869167	0.9599242879
340	0.6299201407	0.9598648092
341	0.6303483602	0.9597279467
342	0.6301692073	0.9596570178
343	0.6302974568	0.9595411828
344	0.6304345189	0.9593743835
345	0.6306006056	0.9592674782
346	0.630634562	0.9591620731
347	0.6307396237	0.9591062253
348	0.6309494233	0.9590410938
349	0.6309219801	0.9589773389
350	0.6306779188	0.9589167694
351	0.6307476974	0.9587842635
352	0.6310152427	0.9587564462
353	0.6311027779	0.9587218987
354	0.6310978611	0.9586816834
355	0.6312373806	0.958657078
356	0.6319167368	0.9583510879
357	0.6318120519	0.958255155
358	0.6314524899	0.9581444834
359	0.6317294084	0.9580414718
360	0.6315674683	0.9579809999
361	0.631749316	0.957859212
362	0.6317004433	0.9578140895
363	0.6317855571	0.9576711012
364	0.6319806531	0.9575912191
365	0.6319704268	0.9575196834
366	0.6323457566	0.9573680048
367	0.6325268569	0.9572969197
368	0.6326917376	0.9572582415
369	0.6329180922	0.9572145298
370	0.6328641798	0.9571705524
371	0.6331601529	0.9570803555
372	0.6332855728	0.9570108318
373	0.6333982445	0.9569448711
374	0.6331678203	0.9568462833
375	0.6331405593	0.9568130399
376	0.6334496809	0.9567346333
377	0.6337418525	0.9566171092
378	0.6339838174	0.9565727271
379	0.6340552397	0.9565286227
380	0.6339060905	0.9564058968
381	0.6339977128	0.9563252175
382	0.6342797762	0.9562770163
383	0.6343463763	0.9561995373
384	0.6343406814	0.9561433414
385	0.6339743917	0.9560525641
386	0.6342384622	0.9559017909
387	0.6343142608	0.9558573843
388	0.6347835245	0.9557735227
389	0.6343672091	0.9557317759
390	0.6343613522	0.9556755107
391	0.63488072	0.9556033393
392	0.6350442174	0.9553047035
393	0.6351468124	0.9552194827
394	0.6349845306	0.9551627145
395	0.6346667668	0.9550230153
396	0.6344335248	0.9549222524
397	0.6346404223	0.954809836
398	0.6345897754	0.9547297405
399	0.6347427696	0.9546885186
400	0.6348186391	0.9546204771
401	0.6350564923	0.9545363304
402	0.635424414	0.954305871
403	0.6354913265	0.9542412862
404	0.6357021055	0.9541813542
405	0.6358021565	0.9540532968
406	0.635839852	0.9539851649
407	0.6359785405	0.9539360812
408	0.6361503779	0.9538255954
409	0.6362944855	0.9537825884
410	0.6368542632	0.9536710211
411	0.6370138849	0.9536105718
412	0.6368623886	0.9535783619
413	0.6377783768	0.9532946502
414	0.6376581779	0.9531837944
415	0.6373273667	0.953124937
416	0.6375204884	0.9530345181
417	0.6375167332	0.9529578856
418	0.637520671	0.9528430105
419	0.6374990773	0.9528052673
420	0.63731444	0.9527429617
421	0.6374838281	0.952673132
422	0.6378578557	0.9525863435
423	0.6378995016	0.9525217586
424	0.6377601257	0.9524847265
425	0.6376050582	0.9524078821
426	0.6374575232	0.9523750056
427	0.6376701425	0.9522748004
428	0.6378980442	0.9522026416
429	0.637382088	0.9520589635
430	0.6374528111	0.9519588466
431	0.6377121278	0.9518813869
432	0.637691068	0.9518230066
433	0.6376379865	0.9517218294
434	0.6376556227	0.9516875052
435	0.637630473	0.9516453258
436	0.6376657418	0.9515855688
437	0.6375316384	0.9515309445
438	0.6376832059	0.951468682
439	0.6377423014	0.9514000529
440	0.6377856023	0.9513465606
441	0.6378523882	0.9513044197
442	0.6378826024	0.951114962
443	0.6381101915	0.9510184571
444	0.6379314244	0.9509532061
445	0.6380259207	0.9509192547
446	0.6381636716	0.9508385631
447	0.6381144007	0.9507711347
448	0.6382565876	0.9506775321
449	0.6381859188	0.9506150126
450	0.6382424766	0.9505485861
451	0.6383367985	0.9505079675
452	0.6383548141	0.9504501302
453	0.6385687965	0.9502856908
454	0.6386041899	0.9502666658
455	0.6386575377	0.9501115475
456	0.6385376589	0.9500684032
457	0.6384673476	0.9500192418
458	0.638401237	0.9497920559
459	0.6385661947	0.9497574687
460	0.6386384582	0.94968912
461	0.6388270632	0.9496666406
462	0.6387505434	0.9495999462
463	0.6388527064	0.9494641595
464	0.6390491645	0.9494435138
465	0.6390842821	0.9493627064
466	0.639080372	0.9492826016
467	0.6390038439	0.9491890618
468	0.6391548368	0.9491065056
469	0.6392943256	0.9490443698
470	0.6394162108	0.9489954513
471	0.6395475744	0.9489408632
472	0.6394044182	0.9488861295
473	0.6393474844	0.948819026
474	0.6395024991	0.9487772878
475	0.639722513	0.9486827697
476	0.6398951183	0.9486419081
477	0.6398872572	0.9485502671
478	0.6402857323	0.9484565617
479	0.640503485	0.9483844157
480	0.6406076056	0.9483662438
481	0.6404290045	0.9483450215
482	0.6404780821	0.9482750665
483	0.6407272435	0.9482147662
484	0.6407763808	0.9481313817
485	0.6408038892	0.9480752592
486	0.6407371614	0.9480505304
487	0.6407976885	0.9479974506
488	0.6407507819	0.9479502688
489	0.6412627722	0.9478221412
490	0.6410980247	0.9477708888
491	0.640954605	0.9477392988
492	0.6411684281	0.9476627422
493	0.6413584121	0.9476033421
494	0.6415937553	0.9475728283
495	0.6416765098	0.9475308641
496	0.6415834656	0.9473089284
497	0.6416288013	0.9472472197
498	0.6414993915	0.9472121934
499	0.641734395	0.9471657337
500	0.6419894037	0.9469713227
501	0.6418926071	0.9467871053
502	0.641912559	0.9466947866
503	0.6420009019	0.946648506
504	0.6417518489	0.9465515039
505	0.6422379519	0.9465146721
506	0.6425612827	0.9464656734
507	0.6421341435	0.9464056853
508	0.6422518951	0.9463175591
509	0.6421893517	0.9462366352
510	0.6425890713	0.9461685627
511	0.6427786852	0.9460904866
512	0.6425259266	0.9460025555
513	0.6426620207	0.9459242815
514	0.6428264129	0.9458615185
515	0.642863057	0.9457950174
516	0.6430436378	0.9457164452
517	0.6429909573	0.9456567989
518	0.6434422755	0.945596354
519	0.6433828421	0.9455341873
520	0.6435201128	0.9454242718
521	0.6436986933	0.9453116554
522	0.6435718584	0.9452650111
523	0.6436519596	0.9452237847
524	0.6437084465	0.9451765517
525	0.6435825048	0.945113279
526	0.643645354	0.9450858607
527	0.6435434837	0.9450393256
528	0.6435997383	0.9449828836
529	0.6433161389	0.9449478493
530	0.6433726471	0.9449101043
531	0.6434177939	0.9448908948
532	0.6437587835	0.9447741723
533	0.6438277803	0.9447265971
534	0.6442160025	0.9446499969
535	0.6442015949	0.9445947427
536	0.6443178693	0.9445712142
537	0.6443391476	0.9445236206
538	0.6444155995	0.9444840326
539	0.6444297552	0.9444555865
540	0.6446122239	0.9443180805
541	0.6446828012	0.9442346291
542	0.6450116749	0.9441405271
543	0.6450352766	0.9440863881
544	0.6451055166	0.9440381783
545	0.645609057	0.943864468
546	0.6458370234	0.9437912329
547	0.645836639	0.9437368103
548	0.6460225116	0.9437170664
549	0.6460154652	0.9436521866
550	0.646098305	0.9436091596
551	0.646192821	0.9435623131
552	0.6463157272	0.9434924803
553	0.6464453141	0.9434464632
554	0.6464410669	0.9433899243
555	0.6462600465	0.9433553805
556	0.6463579337	0.9433207963
557	0.6465968096	0.9432470797
558	0.6468112246	0.9431600291
559	0.6467503748	0.94310142
560	0.6464945927	0.9430298
561	0.6468934101	0.9429809731
562	0.6469001284	0.9429631807
563	0.6469710861	0.9428993443
564	0.6469605142	0.9428256414
565	0.6470094556	0.942716913
566	0.6467571155	0.9426588669
567	0.6470152907	0.9426342361
568	0.6470219883	0.942545171
569	0.6473880292	0.9424588471
570	0.6473821996	0.942420164
571	0.6470622102	0.942365239
572	0.6473390825	0.9423384814
573	0.6472128444	0.9422735879
574	0.6472660767	0.9422202923
575	0.6475726754	0.9421094399
576	0.6475404863	0.94205753
577	0.6481057156	0.9419551198
578	0.6482770844	0.9418437211
579	0.6484164692	0.9417879222
580	0.648031755	0.9417001483
581	0.6482243234	0.9416663187
582	0.647930565	0.9415646588
583	0.6481091754	0.9414586393
584	0.648183512	0.941420349
585	0.6481588403	0.9413505928
586	0.6480614653	0.9412952457
587	0.64808469	0.9412252629
588	0.6482239239	0.9411184988
589	0.6483110975	0.9410225774
590	0.6483475317	0.9409469272
591	0.6483023951	0.9409319935
592	0.6484998311	0.9408459311
593	0.6484503241	0.9407985228
594	0.6488424653	0.9407005032
595	0.6485392497	0.9406319411
596	0.6484385728	0.9404827972
597	0.6487294586	0.9404445786
598	0.648732091	0.9403894141
599	0.6483949051	0.9403376243
600	0.6484970963	0.9402128145
601	0.6486476455	0.9401782646
602	0.6485992992	0.9401610885
603	0.6486767373	0.9401359599
604	0.6489079883	0.9400541765
605	0.6490571874	0.9400099685
606	0.64935022	0.9399659056
607	0.6491474914	0.9399446212
608	0.6493889505	0.9398792511
609	0.6492402926	0.9397880959
610	0.6498065037	0.9397054271
611	0.6498447441	0.9396384852
612	0.6497048597	0.9395789577
613	0.6498865738	0.9395471973
614	0.6500120029	0.9395130201
615	0.6504046853	0.9394363184
616	0.6502072368	0.9393739943
617	0.6501925423	0.9392869134
618	0.6503563863	0.9392408488
619	0.650347525	0.9391531543
620	0.6501552176	0.939069907
621	0.6501620959	0.9389933824
622	0.6503653194	0.9389695594
623	0.650505595	0.9389501078
624	0.6505048939	0.9389056337
625	0.650304786	0.9388380948
626	0.650227442	0.938789623
627	0.6509405955	0.938729841
628	0.6504487227	0.9385641761
